Word,Definition,Other Meanings,Nominative,Dative,Accusative,Present,Imperfect,Perfect,Other Information
Respondeo,Reply,Answer / Respond,,,,"I = respondeo , you(singular) = respondes , he/she = respondet, we = respondemus , you(plural) = respondetis , they = respondent","I = respondebam , you(singular) = respondebas , he/she = respondebat , we = respondebamus , you(plural) = respondebatis , they = respondebant","I = respondi , you(singular) = respondisti , he/she = respondit , we = respondimus , you(plural) = respondistis , they = responderunt",
Venio,Come,,,,,"I = venio , you(singular) = venis , he/she = venit , we = venimus , you(plural) = venitis , they = veniunt","I = veniebam , you(singular) = veniebas , he/she = veniebat , we = veniebamus , you(Plural) = vaniebatis , they = veniebant",,
Rideo,Laugh,Smile,,,,"I = rideo , you(singular) = rides , he/she = ridet , we = ridemus , you(plural) = ridetis , they = rident","I = ridebam , you(singular) = ridebas , he/she = ridebat , we = ridebamus , you(plural) = ridebatis , they = ridebant","I = risi , you(singular) = risisti , he/she = risit , we = risimus , you(plural) = risistis , they = riserunt",
Quod,Because,,,,,,,,
Ex,Out of,from / out from,,,,,,,
Voco,Call,Summon,,,,"I = voco , you(singular) = vocas , he/she = vocat , we = vocamus , you(plural) = vocatis , they = vocant","I = vocabam , you(singular) = vocabas , he/she = vocabat , we = vocabamus you(plural) = vocabatis , they = vocabant","I = vocavi , you(singular) = vocavisti , he/she = vocavit , we = vocavimus , you(plural) = vocavistis , they = vocaverunt",
Clamo,Shout,"Yell / noise ",,,,"I = clamo , you(singular) = clamas , he/she = clamat , we = clamamus , you(plurs) = clamatis , they = clamant","I = clamabam , you(singular) = clamabas , he/she = clamabat , we = clamabamus , you(plural) = clamabatis, they = clamabant","I = clamavi , you(singular) = clamavisti , he/she = clamavit , we = clamavimus , you(plural) = clamvistis , they = clamaverunt",Clamor is the written way for Clamo as in noise
Specto,Look,Watch,,,,"I = specto , you(singular) = spectas , he/she = spectat , we = spectamus , you(singular) = spectatis , they = spectant","I = spectabam , you(singular) = spectabas , he/she = spectabat , we = spectabamus , you(plural) = spectabatis , they = spectabant","I = spectavi , you(singular) = spectavisti , he/she = spectavit , we = spectavimus , you(plural) = spectavistis , they = spectaverunt",
Taberna,Shop,Store / Inn,taberna(singular) / tabernae(plural),tabernae(singular) / tabernis(plural),tabernam(singular) / tabernas(plural),,,,
Laboro,Work,,,,,"I = laboro , you(singular) = laboras , he/she = laborat , we = laboramus , you(plural) = laboratis , they = laborant","I = laborabam , you(singular) = laborabas , he/she = laborabat , we = laborabamus , you(plural) = laborabatis , they = laborabant","I = laboravi , you(singular) = laboravisti , he/she = laboravit , we = laboravimus , you(plural) = laboravistis , they = laboraverunt",
Femina,Woman,,femina(singular) / feminae(plural),feminae(singular) / feminis(plural),Feminam(singular) / feminas(plural),,,,
Vir,Man,,vir(singular) / viri(plural),viro(singular) / viris(plural),virum(singular) / viros(plural),,,,
Puer,Boy,,puer(singular) / puri(plural),puero(singular) / pueris(plural),puerum(singular) / pueros(plural),,,,
Puella,Girl,,puella(singular) / puellae(plural),puellae(singular) / puellis(plural),puellam(singular) / puellas(plural),,,,
Multus,Many,Much,,,,,,,
Urbs,City,,urbs(singular) / urbes(plural),urbi(singular) / urbibus(plural),urbem(singular) / urbes(plural),,,,
